,,,Account details,,,,,,,Payment details,,,,,,,,,,,Account health,,,,,,,,Account decision,,,
Facilities,Parent,n10,Account Status,# Net Terms,Timezone,Autopay,Payment cycle,Last payment method,na,Past Due Balance,# of Past Due Invoices,Total Outstanding Balance,# Outstanding  Invoices,Broken P2P Count,Broken P2P Balance,Boken/Underpaid Invoice numbers,Open Credits,Total Open P2P,Next Invoice Due date,na1,# of pend/suspend cycles last 6-months,Total Count of Past Due in 7 Days,% of Past due/Total AR,Total ineligible,Near ineligible,Facility Payment Score,Payment Category,na3,Automated pend/suspend reccomendation,Action Decision for the Week,"Action plan
(Tell your story - Explain your Situation, Task, Action , Resolution where possible)",TL comments/questions
Silver Ridge Care Center,Caldera Care (Parent),,ENROLLED,45,,,Weekly,check,, $ -   ,0, $ -   ,0,"Broken P2P: 0
Open P2P: 0
Underpaid P2P: 1","Broken: $0.00
Underpaid: $137.90
Oldest Expected P2P: 09-15-25",390909-2,,,No upcoming invoices,,,0,, $ 137.90 , $ -   ,59,Ok Payer,,Keep Enrolled,,,
The Chelsea at New City,Chelsea Senior Living (Parent Company),,ENROLLED,30,,,Insufficient Data,check,, $ -   ,0," $ 1,312.75 ",1,"Broken P2P: 0
Open P2P: 0
Underpaid P2P: 1","Broken: $0.00
Underpaid: $1.00
Oldest Expected P2P: 10-22-25",489157-1, $ 295.23 ,,1/28/2026,,,0,0.00%, $ 1.00 , $ -   ,72,Ok Payer,,Keep Enrolled,,,
The Chelsea at Shrewsbury,Chelsea Senior Living (Parent Company),,ENROLLED,15,,,Weekly,check,, $ -   ,0, $ -   ,0,,,,,,No upcoming invoices,,,0,, $ -   , $ -   ,100,Good Payer,,Keep Enrolled,,,
Chelsea At Sparta,Chelsea Senior Living (Parent Company),,ENROLLED,15,,,Weekly,check,, $ -   ,0," $ 3,242.08 ",2,,,,,,1/20/2026,,,1,0.00%, $ -   , $ -   ,95,Good Payer,,Keep Enrolled,,,
The Chelsea at Brookhaven,Chelsea Senior Living (Parent Company),,ENROLLED,30,,,Insufficient Data,check,, $ 384.10 ,1," $ 3,708.56 ",5,,,, $ 400.00 ,,1/21/2026,,,1,10.36%, $ 4.00 , $ -   ,90,Good Payer,,Low Balance Invoice,,,
Chelsea At Greenburgh,Chelsea Senior Living (Parent Company),,ENROLLED,30,,,Weekly,check,," $ 2,374.60 ",2," $ 7,023.05 ",7,,,,,,1/21/2026,,,1,33.81%, $ -   , $ -   ,64,Ok Payer,,Pending,,,
Somerset Gardens,Chelsea Senior Living (Parent Company),,ENROLLED,30,,,Monthly,check,, $ -   ,0," $ 6,783.28 ",2,,,,,,1/28/2026,,,1,0.00%, $ -   , $ -   ,93,Good Payer,,Keep Enrolled,,,
The Chelsea at Fair Lawn,Chelsea Senior Living (Parent Company),,ENROLLED,30,,,Insufficient Data,check,, $ -   ,0," $ 1,677.45 ",1,,,, $ 280.37 ,,1/27/2026,,,0,0.00%, $ -   , $ -   ,83,Good Payer,,Keep Enrolled,,,
The Chelsea at Maple Pointe,Chelsea Senior Living (Parent Company),,ENROLLED,30,,,Weekly,check,," $ 28,901.48 ",4," $ 62,099.87 ",8,"Broken P2P: 0
Open P2P: 0
Underpaid P2P: 1","Broken: $0.00
Underpaid: $519.50
Oldest Expected P2P: 12-26-25",522627-1,,,1/21/2026,,,1,46.54%, $ -   , $ 519.50 ,24,Very Bad Payer,,Suspension,,,
The Chelsea at Washington Township,Chelsea Senior Living (Parent Company),,ENROLLED,30,,,Weekly,check,, $ 402.27 ,1," $ 11,525.20 ",5,,,,,,1/21/2026,,,1,3.49%, $ -   , $ -   ,66,Ok Payer,,"Keep Enrolled, Send Pending Notice",,,
